name      side  betax alfax betay alfay
MQYY.4R5.B1 IP  1955.96 40.96 3496.13 17.00
MQYY.4R5.B1 arc 1694.77 27.75 3290.57 36.27
MBRD.4R5.B1 IP  6170.24 72.76 4869.94 20.07
MBRD.4R5.B1 arc 5090.09 66.08 4562.66 19.43
MQYY.4L5.B1 IP  3496.57 -17.00 1955.48 -40.95
MQYY.4L5.B1 arc 3285.77 -37.60 1697.07 -27.06
MCBYV.B5L5.B1 IP  1674.71 -26.83 614.04 -16.26
MCBYV.B5L5.B1 arc 1626.81 -26.45 585.16 -15.87
